ax,ay,az,temp
-0.88,-11.6,-1.96,32.82
-1.01,-10.98,-1.06,32.79
-0.54,-9.29,-1.76,32.8
-1.58,-5.77,-6.73,32.79
-3.87,-7.32,-5.85,32.83
-2.64,-10.2,-2.39,32.78
-1.04,-12.31,-0.4,32.74
-1.96,-8.63,-2.23,32.78
-1.75,-5.15,-7.1,32.79
-4.92,-7.07,-5.96,32.78
-2.88,-10.23,-1.02,32.74
0.28,-11.75,-2.18,32.79
-1.98,-8.88,-1.79,32.76
-2.43,-4.9,-7.22,32.83
-2.62,-6.89,-5.83,32.78
-1.5,-11.34,-1.55,32.78
-0.82,-10.97,-0.71,32.77
-1.41,-9.28,-1.36,32.76
-1.03,-5.28,-7.29,32.77
-6.12,-6.92,-5.71,32.77
-2.6,-11.4,-0.36,32.82
-0.5,-5.91,-4.37,32.84
-2.76,-5.19,-5.78,32.82
-1.18,-10.08,-2.78,32.74
1.46,-13.41,-0.99,32.76
0.23,-10.3,-0.79,32.78
-0.29,-5.13,-5.31,32.78
-1.8,-5.24,-7.64,32.77
-1.58,-11.49,-1.79,32.77
-0.31,-12.73,-2.07,32.77
-0.84,-10.72,-2.35,32.82
-0.12,-5.28,-5.59,32.79
-4.37,-4.26,-7.42,32.77
-2.89,-10.19,-2.37,32.77
-0.66,-13.73,-1.42,32.76
0.31,-10.3,0.2,32.79
0.51,-6.3,-6.01,32.77
-3.55,-5.74,-6.35,32.76
-3.49,-10.91,-0.86,32.78
0.12,-12.84,-1.63,32.77
-0.32,-7.85,-4.5,32.79
-0.79,-5.76,-5.93,32.82
-3.89,-8.12,-1.53,32.79
0.26,-13.2,-0.38,32.79
0.76,-11.12,-1.84,32.81
0.65,-7.24,-3.23,32.85
2.25,-5.76,-7.52,32.82
-2.53,-8.56,-1.26,32.76
-1.41,-12.08,0.43,32.77
0.59,-13.82,-3.15,32.81
0.62,-8.34,-3.63,32.78
2.09,-5.75,-7.05,32.78
-3.43,-8.02,-3.63,32.79
-3.11,-11.88,-0.44,32.76
-0.41,-13.58,-2.99,32.79
0.82,-6.88,-4.86,32.81
-0.33,-4.96,-7.65,32.75
-4.45,-8.47,-2.02,32.81
-1.1,-13.24,-0.33,32.77
2.89,-10.23,-3.61,32.84
-0.99,-12.62,0.35,32.79
-2.03,-9.84,0.07,32.75
-0.99,-8.55,-6.4,32.77
-3.23,-7.9,-8.03,32.79
1.35,-9.99,-4.06,32.75
0.28,-12.02,0.02,32.76
-2.58,-10.33,-1.02,32.76
-0.98,-7.67,-7.93,32.77
-4.15,-7.07,-7.95,32.77
0.62,-10.0,-4.52,32.78
-0.06,-12.02,0.19,32.77
-3.64,-9.57,-1.57,32.78
-2.59,-6.88,-8.53,32.77
-4.51,-7.57,-5.84,32.79
0.24,-10.78,-3.72,32.71
0.48,-12.83,-1.49,32.79
-2.75,-9.4,-1.14,32.77
-1.95,-7.57,-8.29,32.78
-3.88,-7.54,-7.58,32.74
-0.61,-10.96,-3.38,32.74
1.7,-11.43,-1.26,32.77
-2.99,-9.46,-2.66,32.76
-3.71,-6.02,-8.57,32.81
-5.15,-7.62,-6.61,32.74
1.65,-10.73,-4.77,32.79
2.6,-10.89,-1.82,32.76
-0.62,-12.62,0.21,32.75
-1.47,-8.58,-5.46,32.74
-3.19,-7.65,-6.48,32.76
0.18,-9.66,-6.48,32.75
0.42,-11.26,-1.65,32.73
-0.88,-12.07,-1.2,32.73
-2.83,-7.18,-5.49,32.74
-4.24,-8.11,-8.76,32.75
-0.26,-9.49,-5.67,32.77
1.08,-12.29,-0.5,32.77
-1.11,-11.18,-1.96,32.79
-4.57,-7.99,-6.9,32.74
0.29,-8.71,-5.18,32.79
0.63,-8.55,-3.49,32.77
-2.56,-11.26,-0.82,32.75
-2.51,-11.17,-1.9,32.7
-2.8,-8.16,-7.25,32.78
-0.34,-7.8,-7.91,32.77
0.91,-9.48,-2.76,32.76
-0.03,-12.33,-0.18,32.76
-2.04,-10.91,-3.45,32.75
-3.98,-6.38,-7.56,32.77
0.52,-8.62,-6.95,32.74
0.18,-10.55,-3.03,32.78
-1.57,-11.35,0.15,32.76
-1.72,-12.2,-3.39,32.76
-4.33,-6.98,-7.78,32.77
-0.9,-8.35,-5.16,32.77
2.37,-12.11,-2.8,32.81
-0.23,-11.58,0.03,32.74
-1.44,-11.26,-2.44,32.75
-4.92,-7.23,-6.79,32.79
0.9,-8.62,-6.35,32.76
1.5,-10.82,-2.8,32.82
0.06,-11.64,-0.08,32.72
1.14,-11.03,-3.7,32.78
-4.05,-6.91,-5.83,32.77
-0.48,-8.29,-5.83,32.77
4.06,-10.07,-2.56,32.78
0.57,-10.69,-0.4,32.76
-2.12,-12.06,-2.66,32.74
-2.2,-8.13,-6.62,32.76
0.56,-8.09,-6.89,32.77
